date,gdp_growth
1980-04-01,-0.8055112211328708
1980-07-01,0.1511949104524124
1980-10-01,-0.15613974179019552
1981-01-01,0.3717310707409327
1981-04-01,0.7561219522923324
1981-07-01,0.6715784908714051
1981-10-01,0.6029115938720464
1982-01-01,0.7563990943017851
1982-04-01,0.7086112781696796
1982-07-01,-0.058173193216781716
1982-10-01,0.5987563291828479
1983-01-01,0.3844221219584165
1983-04-01,0.054682293094310275
1983-07-01,0.160550139759974
1983-10-01,0.6223233915705118
1984-01-01,0.4452367737219687
1984-04-01,0.476026284645914
1984-07-01,0.6464491100344416
1984-10-01,-0.09213513061928635
1985-01-01,0.25065646908859485
1985-04-01,0.8317710712116844
1985-07-01,0.5721674098285723
1985-10-01,0.5050162247830503
1986-01-01,0.30889261415636415
1986-04-01,1.0972464698671747
1986-07-01,0.5427672370014625
1986-10-01,0.12490158453386524
1987-01-01,0.08234915716762714
1987-04-01,1.4886844353679152
1987-07-01,0.6726260295525588
1987-10-01,1.4747663450136228
1988-01-01,1.2840560165747084
1988-04-01,0.8751587201920152
1988-07-01,1.2654772674248527
1988-10-01,0.824913004096639
1989-01-01,1.3008552546014185
1989-04-01,1.115640694687614
1989-07-01,1.1267565893040343
1989-10-01,1.3410767909022292
1990-01-01,0.21168345851938497
1990-04-01,0.5372345129387668
1990-07-01,0.649821817081464
1990-10-01,-0.04802320046631836
1991-01-01,0.2630943781049222
1991-04-01,0.3693072539835418
1991-07-01,0.40537307003531975
1991-10-01,0.48259623500446214
1992-01-01,0.7152199462282072
1992-04-01,0.11229208116685374
1992-07-01,-0.11501312382388162
1992-10-01,0.018983381792603282
1993-01-01,-0.5402873472106995
1993-04-01,0.00475681148977003
1993-07-01,0.12250293183675431
1993-10-01,0.26309794355756644
1994-01-01,0.6787405545749525
1994-04-01,1.0034169238877677
1994-07-01,0.9032538994174999
1994-10-01,0.9426433928680922
1995-01-01,0.4725384353822415
1995-04-01,0.6556944903023831
1995-07-01,0.15628864724874791
1995-10-01,-0.03951302833817838
1996-01-01,0.6951334580669988
1996-04-01,0.19281509247803807
1996-07-01,0.3860404221511793
1996-10-01,0.3846341488231264
1997-01-01,0.4269003902554802
1997-04-01,1.0496195552877952
1997-07-01,0.9943348065073021
1997-10-01,0.9882220244870954
